region,year,subsidy_main,subsidy_secondary,subsidy_third,subsidy_col_4,subsidy_col_5,subsidy_col_6,subsidy_col_7,subsidy_col_8,subsidy_col_9,subsidy_col_10
Новгородская область,2021,49000000589.0,747.2076999999999,413.2146,851.83468192,1197.05954495,568.53356195,788.46702498,410.01642692999997,853.25858888,1178.22216995
Новгородская область,2022,49000000558.0,770.7455000000001,498.1469000000001,851.2933243499999,1283.6826984800002,613.20521221,801.79518634,501.38515989,861.3308784599999,1283.6826984800002
Новгородская область,2023,620.0,1989.6601,0.0,2203.61315221,1970.74,232.87315221,1970.73965752,10.14113918,2203.6127254000003,1970.73965746
Новгородская область,2024,527.0,1462.6891,0.0,1565.21582226,1372.0234,193.19242226,1372.02306475,23.00278023,1565.21540832,1372.02306475
Новосибирская область,2016,150000001064.0,4642.5527999999995,2270.1280999999994,46934346.593402,40549041.853601,6390603.426702,40546755.735373,2250.89072167,46934189.05459567,40548944.39761
Новосибирская область,2017,150000000820.0,5103.693,2483285883.2834,525093011.61171,405637674.53052,119460935.20211,405635189.742976,2456.4545434399997,525092951.63052595,405637588.2825942
Новосибирская область,2018,150000000960.0,5022469440.0,5110710400.0,6182174519.150001,8254266670.43,3586096719.15,5641418784.130001,2611544630.4400005,6192054487.82,8159719015.530001
Новосибирская область,2019,150000000960.0,2346.5826,1358208194.7573538,442499101.1339696,345150807.53376365,97357875.51166448,342766331.14584166,15638871.576361401,439444115.460872,342768125.878898
Новосибирская область,2020,150000001120.0,4042.3538,4445488097.8021,499326760.38540643,389478665.33214325,609177570.6065065,778775164.4029084,608934021.726857,778585675.5826911,109803509.91070317
Новосибирская область,2021,50000001520.0,4361.34116,2547.4859300000003,4705.234215480001,6834.987686050001,3012.2927508000002,4392.8024758636,2416.8456896168,4684.9705618036005,6664.0465099804005
Новосибирская область,2022,50000001440.0,3218.0081,2221.7974999999997,3722.20360916,5570.259553939999,2816.8409466499998,3471.1785569699996,2109.89006847,3723.10589432,5553.40339215
Новосибирская область,2023,1600.0,9601.0234,0.0,10595.310593230002,9135.94569113,1459.3649020999999,8641.47331641,138.98542901,10095.81248703,8641.47321489
Новосибирская область,2024,1360.0,5750.5779999999995,0.0,5512.59051245,4260.02253692,1252.56797553,4244.43579089,40.03358596,5493.50015057,4244.43579074
Омская область,2016,156000001077.0,5284.4131,2555.2171,104511623.698154,89513808.334577,15003341.502154,89511228.54717655,902379.4894592201,104511588.40808567,89513763.11917815
Омская область,2017,156000000830.0,5332.5099,2586036286.0337,763317263.7255673,725153956.4014337,38175068.24936732,725151400.0244113,2579.9802266600004,763304717.5117402,725142025.5446686
Омская область,2018,156000000972.0,3929935943.0,4006541400.0,4899792538.34,6540225442.42,2754670942.34,4498430741.820001,2063089868.33,4920088799.2,6460526680.58
Омская область,2019,156000000972.0,2646.3051,1508148511.180354,612075240.473534,526386116.011598,85696949.25664116,526384562.2477028,5479101.30579209,612075334.7987281,526386543.2037713
Омская область,2020,156000001134.0,3358.9368,3254016473.9623,528956406.013245,454905374.7290009,603010135.371645,909735810.894244,602931490.8889437,909668392.0231411,74046677.52251153
Омская область,2021,52000001539.0,3580.9164,1814.8745999999999,3743.4391606900003,5343.82547439,2131.91528369,3567.32493861,1817.5791728000002,3767.2544089200005,5301.141572800001
Омская область,2022,52000001458.0,3015.3682000000003,1612.2378,3207.86069026,4684.78026543,1892.1877333900002,3078.6312801199997,1671.08342394,3242.1933123199997,4683.99072291
Омская область,2023,1620.0,6084.8054,0.0,6510.641613729999,6051.86575787,458.77585586000004,6051.75479612,48.55248519999999,6510.51699664,6051.75479477
Омская область,2024,1377.0,4348.5106,0.0,4645.503499299999,4224.3395,421.1639992999999,4224.14701289,96.89914021999999,4645.28723945,4224.14701289
Оренбургская область,2016,159000000778.0,5180.8756,2565.5395,46607714.78642,36609614.20071,10004177.45032,36607047.17895048,1028943.0074895,46607709.36323362,36609603.13479766
Оренбургская область,2017,159000000600.0,3920.6462,1987826687.8247,391599361.8701,372021062.8402,19589112.0486,372019113.1614055,1990.63639954,391599361.6373798,372021057.7061236
Оренбургская область,2018,159000000720.0,4607738878.0,5262273800.0,5445534409.02,8010449271.34,3912039814.02,5352224957.82,2636658490.36,6011423109.16,7958629317.32
Оренбургская область,2019,159000000720.0,3967.2828999999997,2266901469.8073,701302581.0743365,525979760.5020365,175332563.68920738,525977304.9597404,1780821.47300538,701302822.280593,525980206.4760966
Оренбургская область,2020,159000000840.0,3658.744,4107683547.8724,640738653.4083679,480557786.9106387,800922902.7804679,961106149.0277314,800922040.1713058,961106030.1696434,160188908.38842672
Оренбургская область,2021,53000001140.0,4640.926423,2723.075293,5083.63582238,7274.05081538,3342.9472923800004,4714.73286154,2587.88109118,5108.37748807,7212.42076203
Оренбургская область,2022,53000001080.0,3564.4235000000003,2345.7151999999996,3931.48700006,6040.56082107,2783.2434145400002,3709.67744704,2436.6149189499997,3989.4821204000004,6037.44288846
Оренбургская область,2023,1200.0,6379.6612000000005,0.0,6826.443222000001,6193.653,632.790222,6193.63770833,157.35300323,6826.426212710001,6193.63770833
Оренбургская область,2024,1020.0,3991.0803000000005,0.0,4195.651272159999,3565.6685,629.98277216,3565.6611285300005,99.31156629,4195.642546020001,3565.6610199000006
Орловская область,2016,162000000182.0,4463.1052,102233402.2477,127074367.215166,28714894.717433,98364130.357666,23601097.469733,102233405.47696622,121962809.82979912,28714899.717433
Орловская область,2017,162000000140.0,3578.0267000000003,1780547080.5453,786295318.4553192,746982427.6568595,39322768.973919064,746980685.5628033,1791.35371482,786295328.439782,746982421.7353952
Орловская область,2018,162000000168.0,3519109742.0,3560216600.0,4162211348.65,5827898906.110001,1988225254.65,4046906319.17,1789975175.85,4167261368.07,5826083706.650001
Орловская область,2019,162000000168.0,2853.073,1733739393.0232053,298519789.0621006,283595065.5119477,14932819.87620063,283593343.14268553,4398168.763106421,298519829.75333023,283595654.9076559
Орловская область,2020,162000000196.0,2502.8758,2509245942.5105,344144384.87533563,326939213.4250158,361351680.3037357,653872671.3290262,361351595.2839829,653872659.1035521,17210216.08794849
Орловская область,2021,54000000266.0,3456.47904,1935.8512200000002,2893.4084778700003,4519.68541986,1773.0335470800003,2853.50838382,1670.05685308,2895.4594827200003,4341.6047231
Орловская область,2022,54000000252.0,3097.6455,1849.1525000000001,3229.02406321,4937.3598169,2027.2143037,3124.4177018000005,1826.5854162300004,3237.12074621,4935.387153770001
Орловская область,2023,280.0,6170.7008000000005,0.0,6468.965872450001,6149.36927109,319.59660135999997,6149.368739760001,44.49788943,6468.96531397,6149.368739760001
Орловская область,2024,238.0,3437.7587,0.0,3360.5842018299995,3081.9152,278.66900183,3081.7305247099994,7.078834199999999,3360.3813022699997,3081.7305247099994
ПРИВОЛЖСКИЙ Ф.О.,2016,780.0,68085.1909,5016375138.2366,929691052.3585483,64103856.29066916,1736061598.5642483,570715626.679131,1227599572.9879408,1436320064.69677,66051399.092856474
ПРИВОЛЖСКИЙ Ф.О.,2017,582.0,56486.70079999999,29604842904.8133,66314.91436379,91841.72732517999,11196366576.566864,10309014580.831373,887404538.8498137,10244618683.69916,308947303.40144485
ПРИВОЛЖСКИЙ Ф.О.,2018,682.0,53762080996.0,57156293800.0,66112389012.420006,89764594444.45001,44905851437.88,62702855662.52999,28964339250.099995,69186264239.7,88473173420.84
ПРИВОЛЖСКИЙ Ф.О.,2019,682.0,37941.6253,24064778781.664772,54626.25636042,70757.0184321,4796587434.704913,3581776903.095944,1214837795.1972857,3574461550.0684824,14285273.864283359
ПРИВОЛЖСКИЙ Ф.О.,2020,799.0,48541.3977,27720583483.7795,46796.20043393,86034.58422009,7350465278.686133,5735704678.59748,1614798785.614666,5733071568.408145,72136.12824642
ПРИВОЛЖСКИЙ Ф.О.,2021,983.0,60258.955663,36239.637883,63523.81123878999,93489.80305458,42664.82416343,59489.16763871,33861.89729991001,63457.47060083975,91662.33119774974
ПРИВОЛЖСКИЙ Ф.О.,2022,933.0,50711.718949999995,33916.83365,58592.211219280005,88405.15840508,42026.41856001,54999.166378810005,33984.6966906,58919.442444320004,88358.28667135
ПРИВОЛЖСКИЙ Ф.О.,2023,1000.0,97144.4106,0.0,110352.90833772,96060.92116831,14291.98716941,96059.48022708,950.21761354,110351.1850829,96059.45908285999
ПРИВОЛЖСКИЙ Ф.О.,2024,850.0,80110.9331,0.0,93368.76781167998,77487.277691,15881.49012068,77451.81251419,852.3309864099999,93325.45701291999,77451.75562194
Пензенская область,2016,168000000791.0,5385.3996,4493171.7812,80904747.32395,60803954.225175,20106576.70555,60576742.515483,4493018.17080818,80680189.36541532,60803891.76620445
Пензенская область,2017,168000000610.0,3861.7864000000004,1906153006.1511,928698876.3022316,882265941.0514657,46443108.66693158,882264076.8940058,1908.5481789199998,928698878.0956929,882265941.0416632
Пензенская область,2018,168000000732.0,4153766381.0,4313360200.0,5015221334.759999,7045316660.860001,2589023341.7599998,4888636602.860001,2179682544.05,5123041759.94,7045316660.860001
Пензенская область,2019,168000000732.0,3006.3336,1692290944.2885914,238147828.79887038,219097432.95583817,19058502.7539704,219095736.4622477,288822.37955165,238147874.93958917,219097888.27244788
Пензенская область,2020,168000000854.0,3934.5144,4239235942.4731,340420403.8742813,313189982.46989065,367653790.7797813,626370957.517437,367653635.54217774,626370966.6341456,27238589.714570038
Пензенская область,2021,56000001159.0,3430.25646,2184.38808,3002.73381222,4848.59832306,2051.09073304,2931.10810147,1887.08600985,2988.38829175,4594.62821618
Пензенская область,2022,56000001098.0,2750.6631,1773.7078000000001,2856.54439361,4547.30898627,1947.00455627,2784.6640848800002,1795.3507645300003,2876.61972058,4547.30871738
Пензенская область,2023,1220.0,5542.0632000000005,0.0,5813.40621504,5522.6337,290.77251504,5522.63298474,57.552275370000004,5813.405499699999,5522.63298474
Пензенская область,2024,1037.0,4443.900799999999,0.0,4733.299357729999,4432.4797,300.81965772999996,4432.47941414,48.749370219999996,4733.29905753,4432.47941414
Пермский край,2016,171000000739.0,2535.5997,5264473.4174,42770076.728292,27611236.098146,15162583.545992,27346753.55268032,5264470.81912208,42506835.66886735,27611202.57269801
Пермский край,2017,171000000570.0,2461.3117,1216726016.7248,171196471.99723715,162637411.96126857,8568404.41033716,112254045.1293851,1142.28855024,118162578.59601963,112255119.35154217
